ATF/LE Confiscation/Raid/Arrest,Accidental Shooting,Accidental Shooting - Death,Accidental Shooting - Injury,Accidental Shooting at a Business,Accidental/Negligent Discharge,Address,Armed robbery with injury/death and/or evidence of DGU found,BB/pellet gun,Bar/club incident - in or around establishment,Brandishing/flourishing/open carry/lost/found,Car-jacking,Child Involved Incident,Child injured (not child shooter),Child with gun - no shots fired,City or County,Concealed Carry License - Perpetrator,Concealed Carry License - Victim,Congressional District,Criminal act with stolen gun,Defensive Use,"Defensive Use - Crime occurs, victim shoots perpetrator","Defensive Use - Shots fired, no injury/death",Defensive Use - Stand Your Ground/Castle Doctrine established,Defensive Use - Victim stops crime,Defensive Use - WITHOUT a gun,Domestic Violence,"Drive-by (car to street, car to car)",Drug involvement,Gang involvement,"Gun at school, no death/injury - elementary/secondary school",Gun range/gun shop/gun show shooting,Gun(s) stolen from owner,Home Invasion,Home Invasion - No death or injury,Home Invasion - Resident injured,ID,"IDIOCY, NOT AGGRESSION",Incident Date,Institution/Group/Business,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY:  No GV Incident Occurred Onsite,Latitude,Location Description,Longitude,"Mistaken ID  (thought it was an intruder/threat, was friend/family)",Non-Shooting Incident,Notes,Number Injured,Number Killed,Officer Involved Incident,Officer Involved Incident - Weapon involved but no shots fired,Officer Involved Shooting - Officer shot,Officer Involved Shooting - Perpetrator killed,Officer Involved Shooting - Perpetrator shot,Officer Involved Shooting - Perpetrator suicide at standoff,Officer Involved Shooting - Perpetrator surrender at standoff,"Officer Involved Shooting - Shots fired, no injury",Pistol-whipping,Playing with gun,Possession (gun(s) found during commission of other crimes),Possession of gun by felon or prohibited person,School Incident,School Shooting - elementary/secondary school,School Shooting - university/college,Self-Inflicted (not suicide or suicide attempt - NO PERP),"Shot - Dead (murder, accidental, suicide)",Shot - Wounded/Injured,Shots Fired - No Injuries,"Shots fired, no action (reported, no evidence found)",State,State House District,State Senate District,Stolen/Illegally owned gun{s} recovered during arrest/warrant,Suicide,Suicide - Attempt,Under the influence of alcohol or drugs (only applies to the perpetrator)
False,False,False,False,False,False,3100 Block of Anita,False,False,False,False,False,False,False,False,Houston,False,False,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,"January 13, 2016",False,False,False,29.7325,"3100 Block of Anita; Houston, Texas",-95.3577,False,False,1 inj.,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Texas,147,13,False,False,False,False
False,False,False,False,False,False,100 Block of West Southmore,False,False,False,False,False,False,False,False,Pasadena,False,False,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,False,"January 13, 2016",False,False,False,29.6908,"100 Block of West Southmore; Pasadena, Texas",-95.2113,False,False,Perp in armed robbery shoots at police and misses and is arrested,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Texas,144,6,False,False,False,False
False,False,False,False,False,False,900 Sawmill Rd,False,False,False,True,False,True,False,True,Whiteland (New Whiteland),False,False,9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,22,False,"January 13, 2016",False,False,False,39.5625,"Break-O-Day Elementary School; 900 Sawmill Rd; Whiteland (New Whiteland), Indiana",-86.1018,False,True,4th grader brings unloaded gun to school; arrested;,0,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Indiana,58,41,False,False,False,False
False,False,False,False,False,False,1700 block of Eagle Street,False,False,False,False,False,False,False,False,New Orleans,False,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,False,"January 13, 2016",False,False,False,29.9556,"1700 block of Eagle Street; New Orleans, Louisiana",-90.1318,False,False,2 inj.,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Louisiana,98,5,False,False,False,False
False,False,False,False,False,False,300 block of South California,False,False,False,False,False,False,False,False,Chicago,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,False,"January 13, 2016",False,False,False,41.8774,"300 block of South California; Chicago, Illinois",-87.6962,False,False,"East Garfield Park - man shot, buttocks, serious;",1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Illinois,10,5,False,False,False,False
False,False,False,False,False,False,0 block of South Kenton,False,False,False,False,False,False,False,False,Chicago,False,False,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25,False,"January 13, 2016",False,False,False,41.8805,"0 block of South Kenton; Chicago, Illinois",-87.7406,False,False,"Austin - man shot, head, killed; unclear",0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Illinois,10,5,False,False,False,False
False,False,False,False,False,False,2100 block of James Drive,False,False,False,False,False,False,False,False,Reserve Township,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26,False,"January 13, 2016",False,False,False,N/A,"2100 block of James Drive; Reserve Township, Pennsylvania",N/A,False,False,A Pittsburgh firefighter has been placed on paid administrative leave after firing shots at his neighbor's house while holding his 18 month old son.,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Pennsylvania,,,False,False,False,False
False,False,False,False,False,False,9700 block of South Skyway,False,False,False,False,False,False,False,False,Chicago,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,27,False,"January 13, 2016",False,False,False,41.7443,"9700 block of South Skyway; Chicago, Illinois",-87.578,False,False,"Skyway bridge - car-to-car drive-by kills man, wounds woman, on a bridge; stable;",1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,Illinois,33,17,False,False,False,False
False,False,False,False,False,False,2000 Knobcone Avenue,False,False,False,False,False,False,False,False,North Augusta,False,False,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,28,False,"January 13, 2016",True,False,False,33.5311,"North Augusta High School; 2000 Knobcone Avenue; North Augusta, South Carolina",-81.9682,False,True,"student with guns in truck on campus, left in vehicle after duck hunting, no charges, poss expulsion",0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,South Carolina,83,24,False,False,False,False
False,False,False,False,False,False,4719 Central Drive,False,False,False,False,False,False,False,False,Stone Mountain,False,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,False,"January 13, 2016",False,False,True,33.8115,"Highland Forest Apartment; 4719 Central Drive; Stone Mountain, Georgia",-84.1965,False,False,"Dekalb Co, found in diff areas of complex, 2 local schools on lockdown",2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Georgia,87,41,False,False,False,False
False,False,False,False,False,False,3490 Memorial Drive,False,False,False,False,False,False,False,False,Decatur,False,False,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,False,"January 13, 2016",False,False,False,33.7507,"Zaxby's; 3490 Memorial Drive; Decatur, Georgia",-84.2735,False,False,,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Georgia,85,42,False,False,False,False
